EYCON_08,,01,02,03,04,05,06,07
DD/MM/YY,HH:MM:SS,"","","","","","",""
"LogTemps",,"T/C 1","T/C 2","T/C 3","T/C 4","T/C 5","T/C 6","Top_Pre2"
28/07/21,11:48:43,194,2192,2192,2192,2192,2192,62
28/07/21,11:48:44,194,2192,2192,2192,2192,2192,61
28/07/21,11:48:44,194,2192,2192,2192,2192,2192,61
28/07/21,11:48:44,194,2192,2192,2192,2192,2192,61
28/07/21,11:48:45,194,2192,2192,2192,2192,2192,62
28/07/21,11:48:45,194,2192,2192,2192,2192,2192,62
28/07/21,11:48:46,194,2192,2192,2192,2192,2192,62
28/07/21,11:48:46,194,2192,2192,2192,2192,2192,62
28/07/21,11:48:46,194,2192,2192,2192,2192,2192,62
28/07/21,11:48:47,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:47,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:47,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:47,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:48,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:48,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:48,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:49,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:49,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:49,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:50,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:50,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:50,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:51,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:51,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:51,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:52,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:52,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:52,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:53,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:53,195,2192,2192,2192,2192,2192,61
28/07/21,11:48:54,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:54,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:54,195,2192,2192,2192,2192,2192,61
28/07/21,11:48:54,195,2192,2192,2192,2192,2192,61
28/07/21,11:48:55,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:55,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:55,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:56,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:56,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:56,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:57,195,2192,2192,2192,2192,2192,61
28/07/21,11:48:57,195,2192,2192,2192,2192,2192,61
28/07/21,11:48:58,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:58,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:58,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:59,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:59,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:59,195,2192,2192,2192,2192,2192,62
28/07/21,11:48:59,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:00,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:00,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:00,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:01,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:01,195,2192,2192,2192,2192,2192,61
28/07/21,11:49:01,195,2192,2192,2192,2192,2192,61
28/07/21,11:49:02,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:02,195,2192,2192,2192,2192,2192,61
28/07/21,11:49:02,195,2192,2192,2192,2192,2192,61
28/07/21,11:49:03,195,2192,2192,2192,2192,2192,61
28/07/21,11:49:03,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:03,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:04,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:04,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:05,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:05,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:05,195,2192,2192,2192,2192,2192,61
28/07/21,11:49:05,195,2192,2192,2192,2192,2192,61
28/07/21,11:49:06,195,2192,2192,2192,2192,2192,61
28/07/21,11:49:06,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:06,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:07,195,2192,2192,2192,2192,2192,62
28/07/21,11:49:07,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:07,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:08,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:08,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:09,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:09,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:09,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:10,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:10,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:10,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:11,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:11,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:11,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:11,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:12,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:12,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:13,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:13,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:14,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:14,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:14,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:15,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:15,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:15,196,2192,2192,2192,2192,2192,61
28/07/21,11:49:16,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:16,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:16,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:17,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:17,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:17,196,2192,2192,2192,2192,2192,62
28/07/21,11:49:18,196,2192,2192,2192,2192,2192,61
